policy,workload,mean_net_speedup,mean_wasted_tokens
entropy,gsm8k,0.46234784981963706,2.098368306981207
entropy,humaneval,0.4439863862002954,2.4321145019563786
entropy,mt_bench,0.42620886079912007,2.9693222324593638
epsilon_greedy,gsm8k,0.6267078031821903,0.15231403952424927
epsilon_greedy,humaneval,0.48769646921537246,0.14079350440986355
epsilon_greedy,mt_bench,0.44287275266171056,0.48072029774973013
history,gsm8k,0.9011705468600858,0.44106051066508495
history,humaneval,0.5468582625556405,0.4412696174260202
history,mt_bench,0.45082045991089537,0.7668128405776143
linucb,gsm8k,0.779524041336851,0.1267463539345092
linucb,humaneval,0.48560601235892314,0.17667565720424908
linucb_explore,gsm8k,0.7952908514101142,0.1751396434145286
linucb_explore,humaneval,0.4763064409604277,0.22257201699004425
linucb_fine,gsm8k,0.7937929762288999,0.14043924651101516
linucb_fine,humaneval,0.5255493712761976,0.18733637134466258
ucb,gsm8k,0.8785867754301334,0.28336773808734333
ucb,humaneval,0.5443603722803384,0.2838958397202655
ucb,mt_bench,0.4390148489383404,0.8307250688783627
ucb_coarse,gsm8k,0.8357005041211871,0.2382442740685649
ucb_coarse,humaneval,0.5201441480026734,0.24356398973116627
ucb_coarse,mt_bench,0.4123121286401706,1.157534976894186
