scope,K,net_speedup,accept_len,wasted_per_acc,mean_k
gsm8k,1,1.4343,1.5327,0.3049,1
gsm8k,2,1.6489,1.8447,0.6263,2
gsm8k,3,1.6499,1.9852,1.0149,3
gsm8k,5,1.6188,2.1601,1.7777,5
gsm8k,7,1.5096,2.2081,2.623,7
humaneval,1,1.4425,1.5436,0.2957,1
humaneval,2,1.6418,1.8495,0.622,2
humaneval,3,1.6342,1.9933,1.0067,3
humaneval,5,1.5646,2.1281,1.8194,5
humaneval,7,1.4643,2.1825,2.6656,7
mt_bench,1,1.2913,1.3825,0.4466,1
mt_bench,2,1.3614,1.5296,0.9613,2
mt_bench,3,1.3283,1.6191,1.4706,3
mt_bench,5,1.2407,1.6765,2.5789,5
mt_bench,7,1.1445,1.6966,3.7153,7
MIXED,1,1.3855,1.4863,0.3456,1
MIXED,2,1.5379,1.7413,0.7229,2
MIXED,3,1.5217,1.8658,1.1438,3
MIXED,5,1.4538,1.9883,2.0177,5
MIXED,7,1.3514,2.0291,2.9427,7
