policy,MAT,wasted_per_acc,mean_k,speedup_costmodel
fixedK=1,1.4168,1.399,1.0,1.232
fixedK=2,1.6302,2.174,2.0,1.254
fixedK=3,1.7516,2.991,3.0,1.208
fixedK=4,1.8268,3.838,4.0,1.1418
fixedK=5,1.8746,4.717,5.0,1.0712
fixedK=6,1.903,5.644,6.0,1.0016
fixedK=7,1.9198,6.611,7.0,0.9365
SVIP tau=0.3,1.4254,1.39,1.017,1.2368
SVIP tau=0.5,1.4319,1.383,1.029,1.2404
SVIP tau=0.8,1.4374,1.38,1.041,1.2433
SVIP tau=1.0,1.442,1.382,1.053,1.2453
SVIP tau=1.5,1.456,1.38,1.085,1.2522
SVIP tau=2.0,1.4693,1.392,1.122,1.2575
ORACLE(per-step),1.9198,0.634,1.503,1.5666
