workload,K,batch,net_speedup,accept_len
gsm8k,1,1,1.4343,1.5327
gsm8k,1,8,1.3060,1.4426
gsm8k,1,16,1.2340,1.4718
gsm8k,1,32,1.2050,1.4467
gsm8k,1,64,1.1530,1.4409
gsm8k,2,1,1.6489,1.8447
gsm8k,2,8,1.3830,1.6473
gsm8k,2,16,1.3070,1.6634
gsm8k,2,32,1.1920,1.6436
gsm8k,2,64,1.1010,1.6346
gsm8k,3,1,1.6499,1.9852
gsm8k,3,8,1.2680,1.7307
gsm8k,3,16,1.2960,1.7972
gsm8k,3,32,1.1540,1.7379
gsm8k,3,64,1.0410,1.7180
gsm8k,4,8,1.2090,1.7694
gsm8k,4,16,1.3080,1.8187
gsm8k,4,32,1.0820,1.7724
gsm8k,4,64,0.9380,1.7625
gsm8k,5,1,1.6188,2.1601
gsm8k,5,8,1.1590,1.7903
gsm8k,7,1,1.5096,2.2081
humaneval,1,1,1.4425,1.5436
humaneval,1,8,1.2880,1.4365
humaneval,1,16,1.2690,1.5255
humaneval,1,32,1.1110,1.4422
humaneval,1,64,1.0770,1.4235
humaneval,2,1,1.6418,1.8495
humaneval,2,8,1.2670,1.6387
humaneval,2,16,1.3760,1.7397
humaneval,2,32,1.0560,1.6380
humaneval,2,64,1.0200,1.6112
humaneval,3,1,1.6342,1.9933
humaneval,3,8,1.1230,1.7036
humaneval,3,16,1.3730,1.9104
humaneval,3,32,1.0120,1.7242
humaneval,3,64,0.9610,1.6771
humaneval,4,8,1.0740,1.7375
humaneval,4,16,1.2760,1.8869
humaneval,4,32,0.9440,1.7411
humaneval,4,64,0.8780,1.7088
humaneval,5,1,1.5646,2.1281
humaneval,5,8,1.0230,1.7500
humaneval,7,1,1.4643,2.1825
mt_bench,1,1,1.2913,1.3825
mt_bench,1,8,1.1360,1.4198
mt_bench,1,16,1.0770,1.4239
mt_bench,1,32,1.0990,1.4221
mt_bench,1,64,1.1030,1.4231
mt_bench,2,1,1.3614,1.5296
mt_bench,2,8,1.1990,1.6052
mt_bench,2,16,1.1240,1.5950
mt_bench,2,32,1.0580,1.5999
mt_bench,2,64,1.0470,1.6025
mt_bench,3,1,1.3283,1.6191
mt_bench,3,8,1.0700,1.6812
mt_bench,3,16,1.0890,1.6972
mt_bench,3,32,1.0020,1.6799
mt_bench,3,64,1.0040,1.6802
mt_bench,4,8,1.0090,1.7145
mt_bench,4,16,1.0640,1.7183
mt_bench,4,32,0.9050,1.7137
mt_bench,4,64,0.9070,1.7196
mt_bench,5,1,1.2407,1.6765
mt_bench,5,8,0.9680,1.7342
mt_bench,7,1,1.1445,1.6966
