workload,batch,best_K,best_speedup,k1_speedup,gap_vs_k1
gsm8k,1,3,1.6499,1.4343,0.2156
gsm8k,8,2,1.3830,1.3060,0.0770
gsm8k,16,4,1.3080,1.2340,0.0740
gsm8k,32,1,1.2050,1.2050,0.0000
gsm8k,64,1,1.1530,1.1530,0.0000
humaneval,1,2,1.6418,1.4425,0.1993
humaneval,8,1,1.2880,1.2880,0.0000
humaneval,16,2,1.3760,1.2690,0.1070
humaneval,32,1,1.1110,1.1110,0.0000
humaneval,64,1,1.0770,1.0770,0.0000
mt_bench,1,2,1.3614,1.2913,0.0701
mt_bench,8,2,1.1990,1.1360,0.0630
mt_bench,16,2,1.1240,1.0770,0.0470
mt_bench,32,1,1.0990,1.0990,0.0000
mt_bench,64,1,1.1030,1.1030,0.0000
