approach,model,batch,ctx_len,workload,method,K,tok_per_s,net_speedup,aps
vllm_patched,deepseek,1,8192,quality,baseline,0,151.49,1.0,
vllm_patched,deepseek,1,8192,quality,eagle3_patched,1,152.24,1.005,1.1112
vllm_patched,deepseek,1,8192,quality,eagle3_patched,2,150.54,0.994,1.1609
vllm_patched,deepseek,1,8192,quality,eagle3_patched,3,143.66,0.948,1.1609
vllm_patched,deepseek,1,8192,quality,eagle3_patched,4,137.05,0.905,1.1609
vllm_patched,deepseek,32,8192,quality,baseline,0,1005.68,1.0,
vllm_patched,deepseek,32,8192,quality,eagle3_patched,1,949.36,0.944,1.1147
vllm_patched,deepseek,32,8192,quality,eagle3_patched,2,945.33,0.94,1.1429
vllm_patched,deepseek,32,8192,quality,eagle3_patched,3,816.67,0.812,1.1297
vllm_patched,deepseek,32,8192,quality,eagle3_patched,4,861.95,0.857,1.1379
vllm_patched,llama8b,1,8192,quality,baseline,0,146.38,1.0,
vllm_patched,llama8b,1,8192,quality,eagle3_patched,1,144.67,0.988,1.0876
vllm_patched,llama8b,1,8192,quality,eagle3_patched,2,137.55,0.94,1.0902
vllm_patched,llama8b,1,8192,quality,eagle3_patched,3,132.25,0.903,1.0902
vllm_patched,llama8b,1,8192,quality,eagle3_patched,4,125.13,0.855,1.0902
vllm_patched,llama8b,32,8192,quality,baseline,0,993.54,1.0,
vllm_patched,llama8b,32,8192,quality,eagle3_patched,1,996.86,1.003,1.0967
vllm_patched,llama8b,32,8192,quality,eagle3_patched,2,959.04,0.965,1.0991
vllm_patched,llama8b,32,8192,quality,eagle3_patched,3,906.62,0.913,1.0964
vllm_patched,llama8b,32,8192,quality,eagle3_patched,4,845.76,0.851,1.1018
vllm_patched,qwen14b,1,8192,quality,baseline,0,84.54,1.0,
vllm_patched,qwen14b,1,8192,quality,eagle3_patched,1,111.56,1.32,1.417
vllm_patched,qwen14b,1,8192,quality,eagle3_patched,2,114.89,1.359,1.5586
vllm_patched,qwen14b,1,8192,quality,eagle3_patched,3,117.23,1.387,1.6222
vllm_patched,qwen14b,1,8192,quality,eagle3_patched,4,112.45,1.33,1.6259
vllm_patched,qwen14b,32,8192,quality,baseline,0,647.31,1.0,
vllm_patched,qwen14b,32,8192,quality,eagle3_patched,1,827.25,1.278,1.4278
vllm_patched,qwen14b,32,8192,quality,eagle3_patched,2,846.37,1.308,1.563
vllm_patched,qwen14b,32,8192,quality,eagle3_patched,3,834.99,1.29,1.612
vllm_patched,qwen14b,32,8192,quality,eagle3_patched,4,794.23,1.227,1.624
sglang,deepseek,32,8192,quality,baseline,0,684.83,1.0,
sglang,llama8b,1,8192,quality,baseline,0,150.52,1.0,
sglang,qwen14b,1,8192,quality,baseline,0,83.76,1.0,
