seed,workload,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
0,humaneval,fixed_1,1.392,1.9052,1.0,5000
0,humaneval,fixed_2,1.5758,2.7086,2.0,5000
0,humaneval,fixed_4,1.6418,3.9772,4.0,5000
0,humaneval,fixed_8,1.3623,5.3706,8.0,5000
0,humaneval,svip,1.421,5.3616,7.382,5000
0,humaneval,tapout,1.4265,4.8368,6.56,5000
0,humaneval,banditspec_ucb,1.5663,3.2226,3.009,5000
0,humaneval,banditspec_exp3,1.4926,3.486,3.758,5000
0,humaneval,eps_greedy,1.5645,2.8038,2.197,5000
0,humaneval,linucb_content,1.5538,3.3742,3.256,5000
0,humaneval,nightjar,1.6908,3.3116,3.085,5000
0,humaneval,oracle_load,1.745,3.1292,2.769,5000
0,humaneval,oracle_content,1.6677,3.6878,3.287,5000
0,humaneval,oracle_loadcontent,1.7578,3.4084,3.216,5000
0,humaneval,content_only,1.6269,3.395,2.97,5000
0,humaneval,load_only,1.6911,3.4146,3.224,5000
0,humaneval,combined,1.6978,3.4342,3.17,5000
0,humaneval,oracle,1.8899,3.511,2.686,5000
0,gsm8k,fixed_1,1.3236,1.826,1.0,5000
0,gsm8k,fixed_2,1.4134,2.4606,2.0,5000
0,gsm8k,fixed_4,1.3226,3.2534,4.0,5000
0,gsm8k,fixed_8,0.9476,3.8018,8.0,5000
0,gsm8k,svip,1.1808,3.7742,5.622,5000
0,gsm8k,tapout,1.1255,3.5476,5.883,5000
0,gsm8k,banditspec_ucb,1.398,2.4348,2.031,5000
0,gsm8k,banditspec_exp3,1.2454,2.8114,3.752,5000
0,gsm8k,eps_greedy,1.3948,2.4802,2.153,5000
0,gsm8k,linucb_content,1.3532,2.5804,2.678,5000
0,gsm8k,nightjar,1.4316,2.559,2.516,5000
0,gsm8k,oracle_load,1.4802,2.6558,2.701,5000
0,gsm8k,oracle_content,1.4609,2.724,2.212,5000
0,gsm8k,oracle_loadcontent,1.5256,2.5784,2.185,5000
0,gsm8k,content_only,1.4153,2.4872,2.073,5000
0,gsm8k,load_only,1.4289,2.3546,1.976,5000
0,gsm8k,combined,1.4376,2.4878,2.163,5000
0,gsm8k,oracle,1.6333,2.7624,2.019,5000
0,mt_bench,fixed_1,1.2536,1.7478,1.0,5000
0,mt_bench,fixed_2,1.2857,2.282,2.0,5000
0,mt_bench,fixed_4,1.1136,2.8614,4.0,5000
0,mt_bench,fixed_8,0.753,3.156,8.0,5000
0,mt_bench,svip,1.1091,3.108,4.373,5000
0,mt_bench,tapout,0.9887,2.9722,5.288,5000
0,mt_bench,banditspec_ucb,1.2559,2.0262,1.567,5000
0,mt_bench,banditspec_exp3,1.1045,2.5236,3.751,5000
0,mt_bench,eps_greedy,1.2391,1.8884,1.41,5000
0,mt_bench,linucb_content,1.1857,2.6216,3.158,5000
0,mt_bench,nightjar,1.2897,2.2942,2.335,5000
0,mt_bench,oracle_load,1.3312,1.9844,1.439,5000
0,mt_bench,oracle_content,1.3333,2.4062,1.93,5000
0,mt_bench,oracle_loadcontent,1.3855,2.2412,1.768,5000
0,mt_bench,content_only,1.3024,2.2308,1.861,5000
0,mt_bench,load_only,1.264,2.0424,1.771,5000
0,mt_bench,combined,1.3158,2.4882,2.489,5000
0,mt_bench,oracle,1.4776,2.4288,1.74,5000
0,spec_bench,fixed_1,1.2891,1.8016,1.0,5000
0,spec_bench,fixed_2,1.355,2.4184,2.0,5000
0,spec_bench,fixed_4,1.2362,3.2094,4.0,5000
0,spec_bench,fixed_8,0.8947,3.8118,8.0,5000
0,spec_bench,svip,1.1123,3.782,5.69,5000
0,spec_bench,tapout,1.0688,3.5438,5.887,5000
0,spec_bench,banditspec_ucb,1.3438,2.3436,1.895,5000
0,spec_bench,banditspec_exp3,1.1844,2.7882,3.752,5000
0,spec_bench,eps_greedy,1.3388,2.4388,2.155,5000
0,spec_bench,linucb_content,1.2789,2.6618,2.824,5000
0,spec_bench,nightjar,1.3621,2.5464,2.574,5000
0,spec_bench,oracle_load,1.4116,2.5266,2.552,5000
0,spec_bench,oracle_content,1.3834,2.8258,2.443,5000
0,spec_bench,oracle_loadcontent,1.4564,2.4266,1.968,5000
0,spec_bench,content_only,1.3603,2.3632,1.873,5000
0,spec_bench,load_only,1.3794,2.3548,2.042,5000
0,spec_bench,combined,1.4004,2.667,2.539,5000
0,spec_bench,oracle,1.5634,2.6602,1.926,5000
1,humaneval,fixed_1,1.4268,1.9094,1.0,5000
1,humaneval,fixed_2,1.6108,2.7028,2.0,5000
1,humaneval,fixed_4,1.6491,3.9334,4.0,5000
1,humaneval,fixed_8,1.3361,5.2496,8.0,5000
1,humaneval,svip,1.4022,5.2414,7.34,5000
1,humaneval,tapout,1.4111,4.727,6.554,5000
1,humaneval,banditspec_ucb,1.6098,2.707,2.017,5000
1,humaneval,banditspec_exp3,1.5042,3.4448,3.757,5000
1,humaneval,eps_greedy,1.5955,3.3342,3.12,5000
1,humaneval,linucb_content,1.5723,3.1314,2.762,5000
1,humaneval,nightjar,1.7046,3.2412,3.026,5000
1,humaneval,oracle_load,1.7654,3.1276,2.791,5000
1,humaneval,oracle_content,1.6892,3.6452,3.244,5000
1,humaneval,oracle_loadcontent,1.7779,3.4068,3.23,5000
1,humaneval,content_only,1.6732,3.8226,3.7,5000
1,humaneval,load_only,1.6911,3.4338,3.278,5000
1,humaneval,combined,1.6695,2.8742,2.313,5000
1,humaneval,oracle,1.9171,3.5016,2.676,5000
1,gsm8k,fixed_1,1.3202,1.7826,1.0,5000
1,gsm8k,fixed_2,1.3905,2.3522,2.0,5000
1,gsm8k,fixed_4,1.2717,3.0236,4.0,5000
1,gsm8k,fixed_8,0.892,3.442,8.0,5000
1,gsm8k,svip,1.1877,3.403,5.029,5000
1,gsm8k,tapout,1.1,3.201,5.573,5000
1,gsm8k,banditspec_ucb,1.3889,2.3102,1.945,5000
1,gsm8k,banditspec_exp3,1.2127,2.6418,3.751,5000
1,gsm8k,eps_greedy,1.3711,2.3708,2.167,5000
1,gsm8k,linucb_content,1.3156,2.5828,2.833,5000
1,gsm8k,nightjar,1.3912,2.3136,2.195,5000
1,gsm8k,oracle_load,1.4243,2.5434,2.83,5000
1,gsm8k,oracle_content,1.4371,2.5022,1.988,5000
1,gsm8k,oracle_loadcontent,1.4943,2.4534,2.098,5000
1,gsm8k,content_only,1.3902,2.4122,2.11,5000
1,gsm8k,load_only,1.4122,2.2378,1.876,5000
1,gsm8k,combined,1.4313,2.4974,2.35,5000
1,gsm8k,oracle,1.6063,2.655,1.959,5000
1,mt_bench,fixed_1,1.234,1.7252,1.0,5000
1,mt_bench,fixed_2,1.2615,2.23,2.0,5000
1,mt_bench,fixed_4,1.0945,2.7514,4.0,5000
1,mt_bench,fixed_8,0.7232,2.9966,8.0,5000
1,mt_bench,svip,1.0916,2.9448,4.203,5000
1,mt_bench,tapout,0.969,2.835,5.208,5000
1,mt_bench,banditspec_ucb,1.2247,1.8302,1.298,5000
1,mt_bench,banditspec_exp3,1.0816,2.4206,3.751,5000
1,mt_bench,eps_greedy,1.2352,2.2798,2.294,5000
1,mt_bench,linucb_content,1.1793,2.4862,2.982,5000
1,mt_bench,nightjar,1.2537,2.147,2.118,5000
1,mt_bench,oracle_load,1.3112,1.9768,1.504,5000
1,mt_bench,oracle_content,1.301,2.3028,1.847,5000
1,mt_bench,oracle_loadcontent,1.3532,2.184,1.761,5000
1,mt_bench,content_only,1.2796,2.152,1.767,5000
1,mt_bench,load_only,1.2849,2.1518,1.98,5000
1,mt_bench,combined,1.2952,2.1202,1.821,5000
1,mt_bench,oracle,1.4473,2.35,1.687,5000
1,spec_bench,fixed_1,1.3017,1.7878,1.0,5000
1,spec_bench,fixed_2,1.3734,2.383,2.0,5000
1,spec_bench,fixed_4,1.2549,3.1118,4.0,5000
1,spec_bench,fixed_8,0.8913,3.5854,8.0,5000
1,spec_bench,svip,1.1378,3.5486,5.444,5000
