seed,workload,batch,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
0,humaneval,1,fixed_1,1.5917,1.91,1.0,400
0,humaneval,1,fixed_2,1.9411,2.7175,2.0,400
0,humaneval,1,fixed_4,2.2236,4.0025,4.0,400
0,humaneval,1,fixed_8,2.1048,5.4725,8.0,400
0,humaneval,1,content_only,2.1797,4.3675,4.9,400
0,humaneval,1,load_only,2.1843,3.8875,3.882,400
0,humaneval,1,combined,2.1797,4.3675,4.9,400
0,humaneval,1,nightjar,2.0266,3.7725,4.125,400
0,humaneval,1,tapout,2.0867,4.905,6.59,400
0,humaneval,1,oracle,2.5575,5.275,4.558,400
0,humaneval,4,fixed_1,1.6104,1.9325,1.0,400
0,humaneval,4,fixed_2,2.0036,2.805,2.0,400
0,humaneval,4,fixed_4,2.3694,4.265,4.0,400
0,humaneval,4,fixed_8,2.2827,5.935,8.0,400
0,humaneval,4,content_only,2.3119,4.66,4.995,400
0,humaneval,4,load_only,2.352,4.21,3.935,400
0,humaneval,4,combined,2.3316,4.4175,4.362,400
0,humaneval,4,nightjar,2.1799,4.1125,4.225,400
0,humaneval,4,tapout,2.2302,5.27,6.628,400
0,humaneval,4,oracle,2.6817,5.63,4.878,400
0,humaneval,8,fixed_1,1.6104,1.9325,1.0,400
0,humaneval,8,fixed_2,1.975,2.765,2.0,400
0,humaneval,8,fixed_4,2.3167,4.17,4.0,400
0,humaneval,8,fixed_8,1.7563,5.845,8.0,400
0,humaneval,8,content_only,2.2677,4.105,3.935,400
0,humaneval,8,load_only,2.2579,4.105,3.973,400
0,humaneval,8,combined,2.2365,4.0875,3.913,400
0,humaneval,8,nightjar,2.0544,3.91,3.853,400
0,humaneval,8,tapout,1.8034,5.2075,6.685,400
0,humaneval,8,oracle,2.4291,4.17,3.337,400
0,humaneval,16,fixed_1,1.6146,1.9375,1.0,400
0,humaneval,16,fixed_2,1.8122,2.8125,2.0,400
0,humaneval,16,fixed_4,1.5864,4.315,4.0,400
0,humaneval,16,fixed_8,1.205,6.0925,8.0,400
0,humaneval,16,content_only,1.7319,3.18,2.51,400
0,humaneval,16,load_only,1.731,3.0375,2.353,400
0,humaneval,16,combined,1.7168,3.1825,2.538,400
0,humaneval,16,nightjar,1.6027,3.4375,3.163,400
0,humaneval,16,tapout,1.3375,5.435,6.718,400
0,humaneval,16,oracle,1.8476,2.8125,1.875,400
0,humaneval,32,fixed_1,1.0974,1.905,1.0,400
