workload,policy,batch_size,mean_accepted_length,net_speedup,wasted_tokens_per_accepted
humaneval,fixed_1,1,0.96,1.634,0.04
humaneval,fixed_1,8,0.939,1.616,0.076
humaneval,fixed_1,32,0.942,1.619,0.064
humaneval,fixed_1,64,0.942,1.619,0.063
humaneval,fixed_2,1,1.836,2.026,0.164
humaneval,fixed_2,8,1.798,1.999,0.127
humaneval,fixed_2,32,1.805,2.003,0.111
humaneval,fixed_2,64,1.806,2.004,0.109
humaneval,fixed_3,1,2.6,2.25,0.344
humaneval,fixed_3,8,2.554,2.221,0.196
humaneval,fixed_3,32,2.563,2.227,0.175
humaneval,fixed_3,64,2.564,2.227,0.172
humaneval,fixed_4,1,3.258,2.366,0.559
humaneval,fixed_4,8,3.197,2.332,0.279
humaneval,fixed_4,32,3.206,2.337,0.253
humaneval,fixed_4,64,3.206,2.336,0.251
humaneval,fixed_6,1,4.156,2.344,1.087
humaneval,fixed_6,8,4.086,2.312,0.518
humaneval,fixed_6,32,4.104,2.32,0.472
humaneval,fixed_6,64,4.107,2.321,0.466
humaneval,fixed_8,1,4.592,2.151,1.695
humaneval,fixed_8,8,4.532,2.128,0.842
humaneval,fixed_8,32,4.557,2.137,0.771
humaneval,fixed_8,64,4.567,2.141,0.759
humaneval,entropy_threshold,1,4.592,2.153,1.685
humaneval,entropy_threshold,8,4.529,2.127,0.843
humaneval,entropy_threshold,32,4.555,2.136,0.772
humaneval,entropy_threshold,64,4.565,2.14,0.76
humaneval,epsilon_greedy,1,3.218,2.333,0.584
humaneval,epsilon_greedy,8,3.197,1.829,1.088
humaneval,epsilon_greedy,32,3.199,1.887,0.938
humaneval,epsilon_greedy,64,3.187,1.744,1.211
humaneval,ucb,1,3.256,2.338,0.623
humaneval,ucb,8,3.356,1.931,0.936
humaneval,ucb,32,3.451,1.747,1.266
humaneval,ucb,64,3.418,1.806,1.145
humaneval,history,1,3.998,2.261,1.165
humaneval,history,8,3.846,1.876,1.158
humaneval,history,32,3.851,1.873,1.082
humaneval,history,64,3.855,1.875,1.071
humaneval,oracle,1,4.366,2.708,0.04
humaneval,oracle,8,4.323,2.126,0.782
humaneval,oracle,32,4.34,2.054,0.86
humaneval,oracle,64,4.351,2.058,0.847
humaneval,ucb_coarse,1,3.616,2.284,0.852
humaneval,ucb_coarse,8,3.444,1.773,1.29
humaneval,ucb_coarse,32,3.394,1.695,1.366
humaneval,ucb_coarse,64,3.41,1.7,1.347
humaneval,linucb,1,3.306,2.351,0.618
humaneval,linucb,8,3.352,1.68,1.436
humaneval,linucb,32,3.402,1.699,1.351
humaneval,linucb,64,3.428,1.71,1.328
humaneval,linucb_explore,1,3.408,2.314,0.753
humaneval,linucb_explore,8,3.558,1.763,1.311
humaneval,linucb_explore,32,3.329,1.709,1.339
humaneval,linucb_explore,64,3.385,1.693,1.356
humaneval,linucb_fine,1,3.284,2.353,0.6
humaneval,linucb_fine,8,3.254,1.682,1.429
humaneval,linucb_fine,32,3.184,1.749,1.274
humaneval,linucb_fine,64,3.323,1.673,1.391
gsm8k,fixed_1,1,0.866,1.555,0.134
gsm8k,fixed_1,8,0.848,1.539,0.217
gsm8k,fixed_1,32,0.85,1.541,0.185
gsm8k,fixed_1,64,0.846,1.538,0.186
gsm8k,fixed_2,1,1.508,1.792,0.492
gsm8k,fixed_2,8,1.481,1.772,0.405
gsm8k,fixed_2,32,1.488,1.777,0.356
gsm8k,fixed_2,64,1.481,1.772,0.356
gsm8k,fixed_3,1,1.922,1.826,0.964
gsm8k,fixed_3,8,1.898,1.811,0.668
gsm8k,fixed_3,32,1.906,1.816,0.593
gsm8k,fixed_3,64,1.896,1.81,0.591
gsm8k,fixed_4,1,2.172,1.762,1.491
gsm8k,fixed_4,8,2.126,1.737,1.015
gsm8k,fixed_4,32,2.138,1.743,0.898
gsm8k,fixed_4,64,2.13,1.739,0.89
gsm8k,fixed_6,1,2.366,1.53,2.616
gsm8k,fixed_6,8,2.285,1.493,1.855
gsm8k,fixed_6,32,2.298,1.499,1.656
gsm8k,fixed_6,64,2.289,1.495,1.642
gsm8k,fixed_8,1,2.386,1.302,3.774
gsm8k,fixed_8,8,2.304,1.271,2.788
gsm8k,fixed_8,32,2.314,1.275,2.518
gsm8k,fixed_8,64,2.307,1.272,2.496
gsm8k,entropy_threshold,1,2.206,1.759,1.436
gsm8k,entropy_threshold,8,2.142,1.524,1.661
gsm8k,entropy_threshold,32,2.154,1.448,1.784
gsm8k,entropy_threshold,64,2.143,1.41,1.896
gsm8k,epsilon_greedy,1,1.634,1.778,0.709
gsm8k,epsilon_greedy,8,1.714,1.523,1.442
gsm8k,epsilon_greedy,32,1.802,1.469,1.616
gsm8k,epsilon_greedy,64,1.732,1.434,1.709
gsm8k,ucb,1,1.856,1.795,0.973
gsm8k,ucb,8,1.644,1.479,1.613
gsm8k,ucb,32,1.744,1.38,1.997
gsm8k,ucb,64,1.768,1.295,2.379
gsm8k,history,1,1.714,1.706,1.007
gsm8k,history,8,1.647,1.351,2.244
gsm8k,history,32,1.662,1.159,3.048
gsm8k,history,64,1.652,1.089,3.438
gsm8k,oracle,1,2.292,2.102,0.134
gsm8k,oracle,8,2.226,1.698,1.088
gsm8k,oracle,32,2.236,1.522,1.573
gsm8k,oracle,64,2.23,1.435,1.842
gsm8k,ucb_coarse,1,1.886,1.663,1.407
