workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,0,fixed_1,Under-Drafting,1,0.08080562204122543
humaneval,0,fixed_1,Under-Drafting,1,0.03730170428752899
humaneval,0,fixed_1,Under-Drafting,1,0.030329233035445213
humaneval,0,fixed_1,Under-Drafting,1,0.16258443892002106
humaneval,0,fixed_1,Under-Drafting,1,0.02420802228152752
humaneval,0,fixed_1,Under-Drafting,1,0.01789245381951332
humaneval,0,fixed_1,Under-Drafting,1,0.025680486112833023
humaneval,0,fixed_1,Under-Drafting,1,0.15762023627758026
humaneval,0,fixed_1,Under-Drafting,1,0.04735306277871132
humaneval,0,fixed_1,Under-Drafting,1,0.050933871418237686
humaneval,0,fixed_1,Under-Drafting,1,0.047976523637771606
humaneval,0,fixed_1,Under-Drafting,1,0.16174201667308807
humaneval,0,fixed_1,Under-Drafting,1,0.02025383710861206
humaneval,0,fixed_1,Under-Drafting,1,0.1072782576084137
humaneval,0,fixed_1,Under-Drafting,1,0.0997675284743309
humaneval,0,fixed_1,Under-Drafting,1,0.012560044415295124
humaneval,1,fixed_1,Under-Drafting,1,0.06063215807080269
humaneval,1,fixed_1,Under-Drafting,1,0.047589898109436035
humaneval,1,fixed_1,Under-Drafting,1,0.007823978550732136
humaneval,1,fixed_1,Under-Drafting,1,0.0673813596367836
humaneval,1,fixed_1,Under-Drafting,1,0.0015766447177156806
humaneval,1,fixed_1,Under-Drafting,1,0.10849477350711823
humaneval,1,fixed_1,Under-Drafting,1,0.09492935985326767
humaneval,1,fixed_1,Under-Drafting,1,0.10581925511360168
humaneval,1,fixed_1,Under-Drafting,1,0.08766325563192368
humaneval,2,fixed_1,Under-Drafting,1,0.05760746821761131
humaneval,2,fixed_1,Under-Drafting,1,0.013770775869488716
humaneval,2,fixed_1,Under-Drafting,1,0.09708257019519806
humaneval,2,fixed_1,Under-Drafting,1,0.07860884070396423
humaneval,2,fixed_1,Under-Drafting,1,0.09876935184001923
humaneval,2,fixed_1,Under-Drafting,1,0.09667789936065674
humaneval,2,fixed_1,Under-Drafting,1,0.0916428193449974
humaneval,2,fixed_1,Under-Drafting,1,0.1090029925107956
humaneval,2,fixed_1,Under-Drafting,1,0.01972269080579281
humaneval,2,fixed_1,Under-Drafting,1,0.00046976772136986256
humaneval,2,fixed_1,Under-Drafting,1,0.017222903668880463
humaneval,2,fixed_1,Under-Drafting,1,0.010167377069592476
humaneval,2,fixed_1,Under-Drafting,1,0.04519093781709671
humaneval,2,fixed_1,Under-Drafting,1,0.16234846413135529
humaneval,2,fixed_1,Under-Drafting,1,0.0027155170682817698
humaneval,2,fixed_1,Under-Drafting,1,0.043869245797395706
humaneval,2,fixed_1,Under-Drafting,1,0.003161700675264001
humaneval,2,fixed_1,Under-Drafting,1,0.016054920852184296
humaneval,2,fixed_1,Under-Drafting,1,0.02137342095375061
humaneval,3,fixed_1,Under-Drafting,1,0.06160452589392662
humaneval,3,fixed_1,Under-Drafting,1,0.013582928106188774
humaneval,3,fixed_1,Under-Drafting,1,0.0017302691703662276
humaneval,3,fixed_1,Under-Drafting,1,0.05907059460878372
humaneval,3,fixed_1,Under-Drafting,1,0.030551999807357788
humaneval,3,fixed_1,Under-Drafting,1,0.012499053962528706
humaneval,3,fixed_1,Under-Drafting,1,0.02107805386185646
humaneval,3,fixed_1,Under-Drafting,1,0.06964210420846939
humaneval,3,fixed_1,Under-Drafting,1,0.018303826451301575
humaneval,3,fixed_1,Under-Drafting,1,0.0009705378906801343
humaneval,3,fixed_1,Under-Drafting,1,0.04926934838294983
humaneval,3,fixed_1,Under-Drafting,1,0.008420716039836407
humaneval,3,fixed_1,Under-Drafting,1,0.001987504307180643
humaneval,3,fixed_1,Under-Drafting,1,0.007044598925858736
humaneval,3,fixed_1,Under-Drafting,1,0.024372758343815804
humaneval,3,fixed_1,Under-Drafting,1,0.0796782374382019
humaneval,4,fixed_1,Under-Drafting,1,0.11923712491989136
