workload,policy,mean_accepted_length,net_speedup,wasted_tokens_per_accepted
humaneval,fixed_2,1.59,1.016,0.271
humaneval,fixed_4,2.836,0.816,0.473
humaneval,entropy,2.565,1.024,0.151
humaneval,epsilon_greedy,1.105,0.883,0.275
humaneval,ucb,2.255,0.85,0.435
humaneval,history,3.269,0.798,0.484
gsm8k,fixed_2,1.733,1.024,0.156
gsm8k,fixed_4,3.095,0.918,0.303
gsm8k,entropy,2.594,1.038,0.133
gsm8k,epsilon_greedy,1.036,1.0,0.199
gsm8k,ucb,1.857,0.895,0.369
gsm8k,history,4.123,0.791,0.57
mt_bench,fixed_2,1.173,0.851,0.764
mt_bench,fixed_4,1.82,0.649,1.332
mt_bench,entropy,1.133,0.948,0.424
mt_bench,epsilon_greedy,0.836,0.852,0.747
mt_bench,ucb,1.07,0.773,0.995
mt_bench,history,1.102,0.787,0.855
spec_bench,fixed_2,1.535,0.853,0.386
spec_bench,fixed_4,2.668,0.818,0.68
spec_bench,entropy,1.885,0.686,0.203
spec_bench,epsilon_greedy,1.232,0.545,0.323
spec_bench,ucb,2.069,1.051,0.61
spec_bench,history,3.274,0.595,0.591
