workload,prompt_idx,policy,avg_latency,net_speedup,wasted_tokens_per_accepted
humaneval,0,baseline,2.4521467685699463,1.0,0.0
humaneval,1,baseline,1.5428330898284912,1.0,0.0
humaneval,2,baseline,1.5868327617645264,1.0,0.0
humaneval,3,baseline,1.4594738483428955,1.0,0.0
humaneval,4,baseline,2.2118730545043945,1.0,0.0
humaneval,5,baseline,2.176206111907959,1.0,0.0
humaneval,6,baseline,1.6510629653930664,1.0,0.0
humaneval,7,baseline,1.560422658920288,1.0,0.0
humaneval,8,baseline,1.5027244091033936,1.0,0.0
humaneval,9,baseline,1.7739968299865723,1.0,0.0
humaneval,10,baseline,1.8007168769836426,1.0,0.0
humaneval,11,baseline,1.5478146076202393,1.0,0.0
humaneval,12,baseline,0.9213411808013916,1.0,0.0
humaneval,13,baseline,1.6613738536834717,1.0,0.0
humaneval,14,baseline,1.8641386032104492,1.0,0.0
humaneval,15,baseline,1.8131189346313477,1.0,0.0
humaneval,16,baseline,1.9489648342132568,1.0,0.0
humaneval,17,baseline,1.7423112392425537,1.0,0.0
humaneval,18,baseline,1.8567590713500977,1.0,0.0
humaneval,19,baseline,1.6260111331939697,1.0,0.0
humaneval,20,baseline,1.5866680145263672,1.0,0.0
humaneval,21,baseline,1.5372533798217773,1.0,0.0
humaneval,22,baseline,1.5222680568695068,1.0,0.0
humaneval,23,baseline,1.567322015762329,1.0,0.0
humaneval,24,baseline,1.6564202308654785,1.0,0.0
humaneval,25,baseline,1.5873937606811523,1.0,0.0
humaneval,26,baseline,1.4795558452606201,1.0,0.0
humaneval,27,baseline,1.6646080017089844,1.0,0.0
humaneval,28,baseline,1.8879444599151611,1.0,0.0
humaneval,29,baseline,1.6971275806427002,1.0,0.0
humaneval,30,baseline,1.5865190029144287,1.0,0.0
humaneval,31,baseline,1.511953353881836,1.0,0.0
humaneval,32,baseline,1.5293588638305664,1.0,0.0
humaneval,33,baseline,1.7609388828277588,1.0,0.0
humaneval,34,baseline,1.7959914207458496,1.0,0.0
humaneval,35,baseline,1.6202290058135986,1.0,0.0
humaneval,36,baseline,1.5650355815887451,1.0,0.0
humaneval,37,baseline,1.6612050533294678,1.0,0.0
humaneval,38,baseline,1.7456510066986084,1.0,0.0
humaneval,39,baseline,1.7149970531463623,1.0,0.0
humaneval,40,baseline,1.7088730335235596,1.0,0.0
humaneval,41,baseline,1.6746578216552734,1.0,0.0
