workload,r,load_regime,oracle_task,oracle_load,oracle_content,oracle_joint,oracle_token,combined,best_single_learned,adaptive_headroom_%,load_value_%,content_value_%,complementarity_%,online_capture_%
humaneval,0.1,static_low,2.9471,2.9471,3.0476,3.0476,3.3339,2.8296,2.856,3.4,0.0,3.4,0.0,-117.0
humaneval,0.1,static_high,1.1316,1.1316,1.1316,1.1316,1.1316,1.0998,1.0928,0.0,0.0,0.0,0.0,-3173217578.0
humaneval,0.1,dynamic,1.9337,2.0946,1.9549,2.1247,2.2382,1.9756,1.9862,9.9,8.3,1.1,1.4,22.0
humaneval,0.2,static_low,2.2072,2.2072,2.2448,2.2448,2.516,2.2055,2.1938,1.7,0.0,1.7,0.0,-4.0
humaneval,0.2,static_high,1.1013,1.1013,1.1013,1.1013,1.1013,1.0703,1.0629,0.0,0.0,0.0,0.0,-3107690521.0
humaneval,0.2,dynamic,1.5806,1.7064,1.6186,1.7161,1.834,1.6342,1.6421,8.6,8.0,2.4,0.6,40.0
humaneval,0.5,static_low,1.3582,1.3582,1.3805,1.3805,1.5327,1.3522,1.333,1.6,0.0,1.6,0.0,-27.0
humaneval,0.5,static_high,0.9391,0.9391,0.9391,0.9391,0.9391,0.9087,0.9004,0.0,0.0,0.0,0.0,-3031037110.0
humaneval,0.5,dynamic,1.1399,1.1777,1.1557,1.1923,1.2644,1.1433,1.1168,4.6,3.3,1.4,1.2,6.0
humaneval,0.85,static_low,1.0335,1.0335,1.0347,1.0347,1.0758,1.0097,1.001,0.1,0.0,0.1,0.0,-1888.0
humaneval,0.85,static_high,0.8013,0.8013,0.8013,0.8013,0.8013,0.7709,0.7618,0.0,0.0,0.0,0.0,-3042727532.0
humaneval,0.85,dynamic,0.9424,0.9424,0.9424,0.9435,0.9623,0.8968,0.872,0.1,0.0,0.0,0.1,-3896.0
gsm8k,0.1,static_low,2.2275,2.2275,2.2967,2.2967,2.5331,2.1905,2.1119,3.1,0.0,3.1,0.0,-54.0
gsm8k,0.1,static_high,1.0672,1.0672,1.0672,1.0672,1.0672,1.0308,1.0353,0.0,0.0,0.0,0.0,-3640802515.0
gsm8k,0.1,dynamic,1.5508,1.722,1.649,1.7575,1.8698,1.6365,1.625,13.3,11.0,6.3,2.1,41.0
gsm8k,0.2,static_low,1.7325,1.716,1.8316,1.8316,2.0333,1.788,1.7241,5.7,-1.0,5.7,0.0,56.0
gsm8k,0.2,static_high,1.0386,1.0386,1.0386,1.0386,1.0386,1.0032,1.0035,0.0,0.0,0.0,0.0,-3546339172.0
gsm8k,0.2,dynamic,1.3685,1.4355,1.4206,1.4848,1.5903,1.3971,1.3715,8.5,4.9,3.8,3.4,25.0
gsm8k,0.5,static_low,1.2021,1.2021,1.2439,1.2439,1.3585,1.2139,1.1837,3.5,0.0,3.5,0.0,28.0
gsm8k,0.5,static_high,0.8856,0.8856,0.8856,0.8856,0.8856,0.8515,0.8513,0.0,0.0,0.0,0.0,-3409631325.0
gsm8k,0.5,dynamic,1.0721,1.075,1.0808,1.0948,1.156,1.0413,1.0107,2.1,0.3,0.8,1.3,-136.0
